id,kode_provinsi,nama_provinsi,lokasi_akses,jumlah_pengguna,satuan,tahun
1,32,JAWA BARAT,BANDUNG,46360,USER,2022
2,32,JAWA BARAT,JAKARTA,34906,USER,2022
3,32,JAWA BARAT,KOTA BEKASI,9993,USER,2022
4,32,JAWA BARAT,SURABAYA,5175,USER,2022
5,32,JAWA BARAT,DEPOK,3653,USER,2022
6,32,JAWA BARAT,PALEMBANG,3449,USER,2022
7,32,JAWA BARAT,MAKASSAR,2954,USER,2022
8,32,JAWA BARAT,BEKASI,2607,USER,2022
9,32,JAWA BARAT,TASIKMALAYA,2236,USER,2022
10,32,JAWA BARAT,PEKANBARU,1776,USER,2022
11,32,JAWA BARAT,CIREBON,1613,USER,2022
12,32,JAWA BARAT,BOGOR,1611,USER,2022
13,32,JAWA BARAT,SEMARANG,1510,USER,2022
14,32,JAWA BARAT,TANGERANG SELATAN,1051,USER,2022
15,32,JAWA BARAT,MEDAN,988,USER,2022
16,32,JAWA BARAT,TANGERANG,922,USER,2022
17,32,JAWA BARAT,CIANJUR,918,USER,2022
18,32,JAWA BARAT,DENPASAR,429,USER,2022
19,32,JAWA BARAT,CANGKUANG,414,USER,2022
20,32,JAWA BARAT,CIKAMPEK,393,USER,2022
21,32,JAWA BARAT,MALANG,365,USER,2022
22,32,JAWA BARAT,SINGAPORE,331,USER,2022
23,32,JAWA BARAT,SUKABUMI,325,USER,2022
24,32,JAWA BARAT,CITEUREUP,296,USER,2022
25,32,JAWA BARAT,CLARKSVILLE,293,USER,2022
26,32,JAWA BARAT,CILEUNYI,264,USER,2022
27,32,JAWA BARAT,PEKALONGAN,234,USER,2022
28,32,JAWA BARAT,NGAMPRAH,229,USER,2022
29,32,JAWA BARAT,KUTA,227,USER,2022
30,32,JAWA BARAT,PADALARANG,213,USER,2022
31,32,JAWA BARAT,BOWLING GREEN,212,USER,2022
32,32,JAWA BARAT,KATAPANG,201,USER,2022
33,32,JAWA BARAT,CIMENYAN,193,USER,2022
34,32,JAWA BARAT,BATAM,189,USER,2022
35,32,JAWA BARAT,SAMARINDA,174,USER,2022
36,32,JAWA BARAT,CISARUA,171,USER,2022
37,32,JAWA BARAT,LEMBANG,169,USER,2022
38,32,JAWA BARAT,TELUKJAMBE,162,USER,2022
39,32,JAWA BARAT,CIBINONG,161,USER,2022
40,32,JAWA BARAT,BALEENDAH,158,USER,2022
41,32,JAWA BARAT,BANDAR LAMPUNG,156,USER,2022
42,32,JAWA BARAT,CIMAHI,154,USER,2022
43,32,JAWA BARAT,JAMBI,151,USER,2022
44,32,JAWA BARAT,PONTIANAK,151,USER,2022
45,32,JAWA BARAT,YOGYAKARTA,142,USER,2022
46,32,JAWA BARAT,MANADO,139,USER,2022
47,32,JAWA BARAT,BALIKPAPAN,137,USER,2022
48,32,JAWA BARAT,BREBES,137,USER,2022
49,32,JAWA BARAT,RANCAEKEK,136,USER,2022
50,32,JAWA BARAT,CILEUNGSI,134,USER,2022
51,32,JAWA BARAT,KARANGTENGAH,134,USER,2022
52,32,JAWA BARAT,CIGUGUR,127,USER,2022
53,32,JAWA BARAT,SURAKARTA,120,USER,2022
54,32,JAWA BARAT,SUBANG,117,USER,2022
55,32,JAWA BARAT,KUDUS,116,USER,2022
56,32,JAWA BARAT,KLATEN,115,USER,2022
57,32,JAWA BARAT,MARGAASIH,114,USER,2022
58,32,JAWA BARAT,HAGERSTOWN,109,USER,2022
59,32,JAWA BARAT,PALANGKARAYA,105,USER,2022
60,32,JAWA BARAT,PALU,105,USER,2022
61,32,JAWA BARAT,MEGAMENDUNG,103,USER,2022
62,32,JAWA BARAT,KARAWANG BARAT,102,USER,2022
63,32,JAWA BARAT,KUNINGAN,99,USER,2022
64,32,JAWA BARAT,TAROGONG KALER,93,USER,2022
65,32,JAWA BARAT,CIGOMBONG,89,USER,2022
66,32,JAWA BARAT,PURWOKERTO,89,USER,2022
67,32,JAWA BARAT,SOREANG,89,USER,2022
68,32,JAWA BARAT,JEMBER,87,USER,2022
69,32,JAWA BARAT,SUMEDANG,87,USER,2022
70,32,JAWA BARAT,CIKANDE,84,USER,2022
71,32,JAWA BARAT,INDRAMAYU,82,USER,2022
72,32,JAWA BARAT,JATIBARANG,81,USER,2022
73,32,JAWA BARAT,GUNUNG PUTRI,78,USER,2022
74,32,JAWA BARAT,BANDA ACEH,77,USER,2022
75,32,JAWA BARAT,BALONGAN,75,USER,2022
76,32,JAWA BARAT,PADANG,73,USER,2022
77,32,JAWA BARAT,BANJARAN,70,USER,2022
78,32,JAWA BARAT,BANJARMASIN,69,USER,2022
79,32,JAWA BARAT,GARUT,68,USER,2022
80,32,JAWA BARAT,SUMBER,65,USER,2022
81,32,JAWA BARAT,MATARAM,61,USER,2022
82,32,JAWA BARAT,SALINA,60,USER,2022
83,32,JAWA BARAT,KEDIRI,59,USER,2022
84,32,JAWA BARAT,BATUJAJAR,58,USER,2022
85,32,JAWA BARAT,CIAMIS,58,USER,2022
86,32,JAWA BARAT,KUTA UTARA,58,USER,2022
87,32,JAWA BARAT,MAJALENGKA,56,USER,2022
88,32,JAWA BARAT,LOHBENER,54,USER,2022
89,32,JAWA BARAT,BOJONGSOANG,53,USER,2022
90,32,JAWA BARAT,MAJALAYA,53,USER,2022
91,32,JAWA BARAT,CIPARAY,50,USER,2022
92,32,JAWA BARAT,SORONG,50,USER,2022
93,32,JAWA BARAT,KUPANG,49,USER,2022
94,32,JAWA BARAT,PASIRJAMBU,49,USER,2022
95,32,JAWA BARAT,CILEGON,46,USER,2022
96,32,JAWA BARAT,KUTA SELATAN,46,USER,2022
97,32,JAWA BARAT,KEDAWUNG,44,USER,2022
98,32,JAWA BARAT,JAYAPURA,42,USER,2022
99,32,JAWA BARAT,CIHAMPELAS,39,USER,2022
100,32,JAWA BARAT,PEMATANGSIANTAR,39,USER,2022
101,32,JAWA BARAT,KUALA LUMPUR,38,USER,2022
102,32,JAWA BARAT,PAMEUNGPEUK,38,USER,2022
103,32,JAWA BARAT,BENGKULU,37,USER,2022
104,32,JAWA BARAT,TULUNGAGUNG,37,USER,2022
105,32,JAWA BARAT,SIDOARJO,36,USER,2022
106,32,JAWA BARAT,PARIS,35,USER,2022
107,32,JAWA BARAT,ASHBURN,34,USER,2022
108,32,JAWA BARAT,CICALENGKA,34,USER,2022
109,32,JAWA BARAT,MIAMI,33,USER,2022
110,32,JAWA BARAT,JAWILAN,32,USER,2022
111,32,JAWA BARAT,KARANGPAWITAN,32,USER,2022
112,32,JAWA BARAT,SUKALUYU,32,USER,2022
113,32,JAWA BARAT,TELUK AMBON,31,USER,2022
114,32,JAWA BARAT,SAN JOSE,30,USER,2022
115,32,JAWA BARAT,TIMIKA,30,USER,2022
116,32,JAWA BARAT,PURWAKARTA,29,USER,2022
117,32,JAWA BARAT,COFFEYVILLE,28,USER,2022
118,32,JAWA BARAT,OSAKA,28,USER,2022
119,32,JAWA BARAT,RENGASDENGKLOK,28,USER,2022
120,32,JAWA BARAT,SALATIGA,28,USER,2022
121,32,JAWA BARAT,SUKARAJA,28,USER,2022
122,32,JAWA BARAT,NGORO,27,USER,2022
123,32,JAWA BARAT,GODEAN,26,USER,2022
124,32,JAWA BARAT,BANJARBARU,25,USER,2022
125,32,JAWA BARAT,CIOMAS,25,USER,2022
126,32,JAWA BARAT,DRAMAGA,25,USER,2022
127,32,JAWA BARAT,KEBASEN,25,USER,2022
128,32,JAWA BARAT,NEW YORK,25,USER,2022
129,32,JAWA BARAT,TUBAN,25,USER,2022
130,32,JAWA BARAT,BULELENG,24,USER,2022
131,32,JAWA BARAT,GORONTALO,24,USER,2022
132,32,JAWA BARAT,SERANG,24,USER,2022
133,32,JAWA BARAT,GUNUNGJATI,23,USER,2022
134,32,JAWA BARAT,LONDON,23,USER,2022
135,32,JAWA BARAT,MADIUN,23,USER,2022
136,32,JAWA BARAT,TAJUR HALANG,22,USER,2022
137,32,JAWA BARAT,WATES,22,USER,2022
138,32,JAWA BARAT,BOJONG GEDE,21,USER,2022
139,32,JAWA BARAT,DALLAS,21,USER,2022
140,32,JAWA BARAT,LOS ANGELES,21,USER,2022
141,32,JAWA BARAT,TERNATE,21,USER,2022
142,32,JAWA BARAT,YOKOHAMA,21,USER,2022
143,32,JAWA BARAT,BATANG,20,USER,2022
144,32,JAWA BARAT,LEMAHABANG,20,USER,2022
145,32,JAWA BARAT,PONOROGO,20,USER,2022
146,32,JAWA BARAT,UNGARAN,20,USER,2022
147,32,JAWA BARAT,CHENNAI,19,USER,2022
148,32,JAWA BARAT,CIPATAT,19,USER,2022
149,32,JAWA BARAT,KASIHAN,19,USER,2022
150,32,JAWA BARAT,PASURUAN,19,USER,2022
151,32,JAWA BARAT,CHIYODA CITY,18,USER,2022
152,32,JAWA BARAT,KENDARI,18,USER,2022
153,32,JAWA BARAT,LUMAJANG,18,USER,2022
154,32,JAWA BARAT,TARAKAN,18,USER,2022
155,32,JAWA BARAT,TRENGGALEK,18,USER,2022
156,32,JAWA BARAT,BANJAR,17,USER,2022
157,32,JAWA BARAT,CARINGIN,17,USER,2022
158,32,JAWA BARAT,JEDDAH,17,USER,2022
159,32,JAWA BARAT,SINTANG,17,USER,2022
160,32,JAWA BARAT,UBUD,17,USER,2022
161,32,JAWA BARAT,BANGUNTAPAN,16,USER,2022
162,32,JAWA BARAT,BUKITTINGGI,16,USER,2022
163,32,JAWA BARAT,CILACAP,16,USER,2022
164,32,JAWA BARAT,GROGOL,16,USER,2022
165,32,JAWA BARAT,KARANGMALANG,16,USER,2022
166,32,JAWA BARAT,PATI,16,USER,2022
167,32,JAWA BARAT,PEMALANG,16,USER,2022
168,32,JAWA BARAT,PLERED,16,USER,2022
169,32,JAWA BARAT,SYDNEY,16,USER,2022
170,32,JAWA BARAT,YANGON,16,USER,2022
171,32,JAWA BARAT,ARJAWINANGUN,15,USER,2022
172,32,JAWA BARAT,BANJARNEGARA,15,USER,2022
173,32,JAWA BARAT,BINJAI,15,USER,2022
174,32,JAWA BARAT,IVES ESTATES,15,USER,2022
175,32,JAWA BARAT,METRO,15,USER,2022
176,32,JAWA BARAT,SEOUL,15,USER,2022
177,32,JAWA BARAT,TUREN,15,USER,2022
178,32,JAWA BARAT,BANJARSARI,14,USER,2022
179,32,JAWA BARAT,KEPANJEN,14,USER,2022
180,32,JAWA BARAT,LHOKSEUMAWE,14,USER,2022
181,32,JAWA BARAT,NAGREG,14,USER,2022
182,32,JAWA BARAT,PROBOLINGGO,14,USER,2022
183,32,JAWA BARAT,PURWOREJO,14,USER,2022
184,32,JAWA BARAT,SALAM,14,USER,2022
185,32,JAWA BARAT,SOLOKAN JERUK,14,USER,2022
186,32,JAWA BARAT,BENGALURU,13,USER,2022
187,32,JAWA BARAT,BLITAR,13,USER,2022
188,32,JAWA BARAT,BOYOLALI,13,USER,2022
189,32,JAWA BARAT,CIAMPEA,13,USER,2022
190,32,JAWA BARAT,LEUWILIANG,13,USER,2022
191,32,JAWA BARAT,MOJOKERTO,13,USER,2022
192,32,JAWA BARAT,NGANJUK,13,USER,2022
193,32,JAWA BARAT,RIYADH,13,USER,2022
194,32,JAWA BARAT,SINGKAWANG,13,USER,2022
195,32,JAWA BARAT,DUMAI,12,USER,2022
196,32,JAWA BARAT,GEMPOL,12,USER,2022
197,32,JAWA BARAT,REMBANG,12,USER,2022
198,32,JAWA BARAT,SINGAPARNA,12,USER,2022
199,32,JAWA BARAT,TEGAL,12,USER,2022
200,32,JAWA BARAT,TEMANGGUNG,12,USER,2022
201,32,JAWA BARAT,AMSTERDAM,11,USER,2022
202,32,JAWA BARAT,CIKALONG,11,USER,2022
203,32,JAWA BARAT,CIPEUNDEUY,11,USER,2022
204,32,JAWA BARAT,JONGGOL,11,USER,2022
205,32,JAWA BARAT,KANIGORO,11,USER,2022
206,32,JAWA BARAT,MERTOYUDAN,11,USER,2022
207,32,JAWA BARAT,NABIRE,11,USER,2022
208,32,JAWA BARAT,PARAPAT,11,USER,2022
209,32,JAWA BARAT,PARUNG PANJANG,11,USER,2022
210,32,JAWA BARAT,PORTLAND,11,USER,2022
211,32,JAWA BARAT,PUNGGING,11,USER,2022
212,32,JAWA BARAT,TANJUNG PANDAN,11,USER,2022
213,32,JAWA BARAT,CHUO CITY,10,USER,2022
214,32,JAWA BARAT,CISEENG,10,USER,2022
215,32,JAWA BARAT,GIANYAR,10,USER,2022
216,32,JAWA BARAT,KARANGANYAR,10,USER,2022
217,32,JAWA BARAT,PANGKAL PINANG,10,USER,2022
218,32,JAWA BARAT,PLUMBON,10,USER,2022
219,32,JAWA BARAT,SUNNYVALE,10,USER,2022
220,32,JAWA BARAT,SUTOJAYAN,10,USER,2022
221,32,JAWA BARAT,WONOSOBO,10,USER,2022
222,32,JAWA BARAT,AL AIN,9,USER,2022
223,32,JAWA BARAT,BRNO,9,USER,2022
224,32,JAWA BARAT,FOREST CITY,9,USER,2022
225,32,JAWA BARAT,ISTANBUL,9,USER,2022
226,32,JAWA BARAT,MAGELANG,9,USER,2022
227,32,JAWA BARAT,MANOKWARI,9,USER,2022
228,32,JAWA BARAT,TENGGARONG,9,USER,2022
229,32,JAWA BARAT,BANTUL,8,USER,2022
230,32,JAWA BARAT,MELBOURNE,8,USER,2022
231,32,JAWA BARAT,MENGWI,8,USER,2022
232,32,JAWA BARAT,NAALDWIJK,8,USER,2022
233,32,JAWA BARAT,PERTH,8,USER,2022
234,32,JAWA BARAT,SAN FRANCISCO,8,USER,2022
235,32,JAWA BARAT,ABU DHABI,7,USER,2022
236,32,JAWA BARAT,BANDAR SERI BEGAWAN,7,USER,2022
237,32,JAWA BARAT,BANYUWANGI,7,USER,2022
238,32,JAWA BARAT,BONTANG,7,USER,2022
239,32,JAWA BARAT,CILILIN,7,USER,2022
240,32,JAWA BARAT,GRESIK,7,USER,2022
241,32,JAWA BARAT,GUNUNG SINDUR,7,USER,2022
242,32,JAWA BARAT,HAARLEM,7,USER,2022
243,32,JAWA BARAT,LAS VEGAS,7,USER,2022
244,32,JAWA BARAT,NAIROBI,7,USER,2022
245,32,JAWA BARAT,PALIMANAN,7,USER,2022
246,32,JAWA BARAT,PURWODADI,7,USER,2022
247,32,JAWA BARAT,SAARBRUCKEN,7,USER,2022
248,32,JAWA BARAT,TANJUNG PINANG,7,USER,2022
249,32,JAWA BARAT,BANGKALAN,6,USER,2022
250,32,JAWA BARAT,DEMAK,6,USER,2022
251,32,JAWA BARAT,DUBAI,6,USER,2022
252,32,JAWA BARAT,FRANKFURT,6,USER,2022
253,32,JAWA BARAT,GUANGZHOU,6,USER,2022
254,32,JAWA BARAT,JOHOR BAHRU,6,USER,2022
255,32,JAWA BARAT,KADEMANGAN,6,USER,2022
256,32,JAWA BARAT,KENDAL,6,USER,2022
257,32,JAWA BARAT,KOTO CITY,6,USER,2022
258,32,JAWA BARAT,NAGOYA,6,USER,2022
259,32,JAWA BARAT,PAREPARE,6,USER,2022
260,32,JAWA BARAT,SECAUCUS,6,USER,2022
261,32,JAWA BARAT,SRAGEN,6,USER,2022
262,32,JAWA BARAT,TASHKENT,6,USER,2022
263,32,JAWA BARAT,BLORA,5,USER,2022
264,32,JAWA BARAT,BOSTON,5,USER,2022
265,32,JAWA BARAT,BUSAN,5,USER,2022
266,32,JAWA BARAT,CHICAGO,5,USER,2022
267,32,JAWA BARAT,HELSINKI,5,USER,2022
268,32,JAWA BARAT,ITAMI,5,USER,2022
269,32,JAWA BARAT,KALIWUNGU,5,USER,2022
270,32,JAWA BARAT,KEMBANG,5,USER,2022
271,32,JAWA BARAT,KLANGENAN,5,USER,2022
272,32,JAWA BARAT,KLAPANUNGGAL,5,USER,2022
273,32,JAWA BARAT,LAMONGAN,5,USER,2022
274,32,JAWA BARAT,MINATO CITY,5,USER,2022
275,32,JAWA BARAT,MUNGKID,5,USER,2022
276,32,JAWA BARAT,NASHVILLE,5,USER,2022
277,32,JAWA BARAT,PARUNG,5,USER,2022
278,32,JAWA BARAT,PHNOM PENH,5,USER,2022
279,32,JAWA BARAT,SAPPORO,5,USER,2022
280,32,JAWA BARAT,SUNGAI PENUH,5,USER,2022
281,32,JAWA BARAT,VILNIUS,5,USER,2022
282,32,JAWA BARAT,AUCKLAND,4,USER,2022
283,32,JAWA BARAT,BATU,4,USER,2022
284,32,JAWA BARAT,BOJONEGORO,4,USER,2022
285,32,JAWA BARAT,BONDOWOSO,4,USER,2022
286,32,JAWA BARAT,BRATI,4,USER,2022
287,32,JAWA BARAT,BUTTERWORTH,4,USER,2022
288,32,JAWA BARAT,CORK,4,USER,2022
289,32,JAWA BARAT,DOHA,4,USER,2022
290,32,JAWA BARAT,DUBLIN,4,USER,2022
291,32,JAWA BARAT,HO CHI MINH CITY,4,USER,2022
292,32,JAWA BARAT,HYDERABAD,4,USER,2022
293,32,JAWA BARAT,KAJEN,4,USER,2022
294,32,JAWA BARAT,KARACHI,4,USER,2022
295,32,JAWA BARAT,KARANG TANJUNG,4,USER,2022
296,32,JAWA BARAT,KEMANG,4,USER,2022
297,32,JAWA BARAT,LEUWISADENG,4,USER,2022
298,32,JAWA BARAT,NGAWI,4,USER,2022
299,32,JAWA BARAT,PAGAR ALAM,4,USER,2022
300,32,JAWA BARAT,PATNA,4,USER,2022
301,32,JAWA BARAT,PEJAGOAN,4,USER,2022
302,32,JAWA BARAT,SANTA CLARA,4,USER,2022
303,32,JAWA BARAT,SEATTLE,4,USER,2022
304,32,JAWA BARAT,SECANG,4,USER,2022
305,32,JAWA BARAT,SEMANU,4,USER,2022
306,32,JAWA BARAT,SHINAGAWA CITY,4,USER,2022
307,32,JAWA BARAT,SHINJUKU CITY,4,USER,2022
308,32,JAWA BARAT,TORONTO,4,USER,2022
309,32,JAWA BARAT,VIENNA,4,USER,2022
310,32,JAWA BARAT,WONOGIRI,4,USER,2022
311,32,JAWA BARAT,ALTOONA,3,USER,2022
312,32,JAWA BARAT,BANGKOK,3,USER,2022
313,32,JAWA BARAT,BERGAS,3,USER,2022
314,32,JAWA BARAT,BERLIN,3,USER,2022
315,32,JAWA BARAT,BIMA,3,USER,2022
316,32,JAWA BARAT,BRISBANE,3,USER,2022
317,32,JAWA BARAT,BUKIT MERTAJAM,3,USER,2022
318,32,JAWA BARAT,CEBU CITY,3,USER,2022
319,32,JAWA BARAT,CIJERUK,3,USER,2022
320,32,JAWA BARAT,COLOMBO,3,USER,2022
321,32,JAWA BARAT,COLUMBUS,3,USER,2022
322,32,JAWA BARAT,COVENTRY,3,USER,2022
323,32,JAWA BARAT,DAKAR,3,USER,2022
324,32,JAWA BARAT,FREMONT,3,USER,2022
325,32,JAWA BARAT,HANOI,3,USER,2022
326,32,JAWA BARAT,HIALEAH GARDENS,3,USER,2022
327,32,JAWA BARAT,HOUTEN,3,USER,2022
328,32,JAWA BARAT,INDIANAPOLIS,3,USER,2022
329,32,JAWA BARAT,KEBOMAS,3,USER,2022
330,32,JAWA BARAT,KEBUMEN,3,USER,2022
331,32,JAWA BARAT,LUBUKLINGGAU,3,USER,2022
332,32,JAWA BARAT,MAKATI,3,USER,2022
333,32,JAWA BARAT,MANAMA,3,USER,2022
334,32,JAWA BARAT,MOJOSARI,3,USER,2022
