id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kategori_anak,jenis_kelamin,jumlah_anak,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM,PEREMPUAN,20,ORANG,2021
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM,LAKI-LAKI,13,ORANG,2021
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK PIATU,PEREMPUAN,6,ORANG,2021
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM PIATU,LAKI-LAKI,2,ORANG,2021
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM,PEREMPUAN,12,ORANG,2021
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM,LAKI-LAKI,6,ORANG,2021
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK PIATU,PEREMPUAN,3,ORANG,2021
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM,PEREMPUAN,1,ORANG,2021
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM,LAKI-LAKI,3,ORANG,2021
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK PIATU,PEREMPUAN,4,ORANG,2021
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM,PEREMPUAN,3,ORANG,2021
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM,LAKI-LAKI,1,ORANG,2021
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK PIATU,LAKI-LAKI,2,ORANG,2021
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK PIATU,PEREMPUAN,2,ORANG,2021
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM,PEREMPUAN,14,ORANG,2021
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM,LAKI-LAKI,9,ORANG,2021
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK PIATU,LAKI-LAKI,5,ORANG,2021
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK PIATU,PEREMPUAN,1,ORANG,2021
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM PIATU,LAKI-LAKI,4,ORANG,2021
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM PIATU,PEREMPUAN,1,ORANG,2021
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM,PEREMPUAN,9,ORANG,2021
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM,LAKI-LAKI,5,ORANG,2021
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK PIATU,PEREMPUAN,1,ORANG,2021
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM PIATU,LAKI-LAKI,3,ORANG,2021
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM,PEREMPUAN,5,ORANG,2021
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM,LAKI-LAKI,6,ORANG,2021
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK PIATU,LAKI-LAKI,4,ORANG,2021
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK PIATU,PEREMPUAN,1,ORANG,2021
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK YATIM,PEREMPUAN,1,ORANG,2021
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK YATIM,LAKI-LAKI,4,ORANG,2021
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK PIATU,PEREMPUAN,1,ORANG,2021
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,ANAK YATIM,PEREMPUAN,5,ORANG,2021
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,ANAK YATIM,LAKI-LAKI,10,ORANG,2021
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,ANAK PIATU,LAKI-LAKI,5,ORANG,2021
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,ANAK PIATU,PEREMPUAN,3,ORANG,2021
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,ANAK YATIM,PEREMPUAN,7,ORANG,2021
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,ANAK YATIM,LAKI-LAKI,10,ORANG,2021
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,ANAK PIATU,LAKI-LAKI,7,ORANG,2021
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,ANAK PIATU,PEREMPUAN,9,ORANG,2021
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,ANAK YATIM PIATU,PEREMPUAN,1,ORANG,2021
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,ANAK YATIM,PEREMPUAN,4,ORANG,2021
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,ANAK YATIM,LAKI-LAKI,3,ORANG,2021
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,ANAK PIATU,PEREMPUAN,1,ORANG,2021
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,ANAK YATIM,PEREMPUAN,9,ORANG,2021
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,ANAK YATIM,LAKI-LAKI,12,ORANG,2021
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,ANAK PIATU,LAKI-LAKI,4,ORANG,2021
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,ANAK PIATU,PEREMPUAN,4,ORANG,2021
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK YATIM,PEREMPUAN,7,ORANG,2021
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK YATIM,LAKI-LAKI,3,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK PIATU,PEREMPUAN,2,ORANG,2021
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM,PEREMPUAN,2,ORANG,2021
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM,LAKI-LAKI,2,ORANG,2021
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK PIATU,PEREMPUAN,2,ORANG,2021
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM PIATU,LAKI-LAKI,2,ORANG,2021
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK YATIM,PEREMPUAN,0,ORANG,2021
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK YATIM,LAKI-LAKI,2,ORANG,2021
