hari,tanggal,jumlah_sampling,positif,negatif,invalid,id
Rabu,2023-07-19 00:00:00,5555193,1448357,4094357,12479,1
Sabtu,2023-07-15 00:00:00,5554701,1448344,4093879,12478,2
Jumat,2023-07-14 00:00:00,5554515,1448334,4093703,12478,3
Kamis,2023-07-13 00:00:00,5554292,1448328,4093486,12478,4
Rabu,2023-07-12 00:00:00,5554125,1448323,4093324,12478,5
Selasa,2023-07-11 00:00:00,5553891,1448316,4093097,12478,6
Senin,2023-07-10 00:00:00,5553563,1448307,4092778,12478,7
Minggu,2023-07-09 00:00:00,5553419,1448303,4092638,12478,8
Sabtu,2023-07-08 00:00:00,5553281,1448300,4092503,12478,9
Jumat,2023-07-07 00:00:00,5553102,1448286,4092338,12478,10
Kamis,2023-07-06 00:00:00,5552861,1448280,4092103,12478,11
Rabu,2023-07-05 00:00:00,5552598,1448269,4091851,12478,12
Selasa,2023-07-04 00:00:00,5552307,1448263,4091566,12478,13
Senin,2023-07-03 00:00:00,5551867,1448249,4091140,12478,14
Minggu,2023-07-02 00:00:00,5551704,1448242,4090984,12478,15
Sabtu,2023-07-01 00:00:00,5551486,1448239,4090769,12478,16
Jumat,2023-06-30 00:00:00,5551279,1448234,4090567,12478,17
Kamis,2023-06-29 00:00:00,5551178,1448231,4090469,12478,18
Rabu,2023-06-28 00:00:00,5551089,1448226,4090385,12478,19
Selasa,2023-06-27 00:00:00,5550845,1448217,4090150,12478,20
Senin,2023-06-26 00:00:00,5550517,1448200,4089839,12478,21
Minggu,2023-06-25 00:00:00,5550262,1448183,4089601,12478,22
Sabtu,2023-06-24 00:00:00,5550051,1448167,4089406,12478,23
Jumat,2023-06-23 00:00:00,5549790,1448157,4089155,12478,24
Kamis,2023-06-22 00:00:00,5549441,1448149,4088814,12478,25
Rabu,2023-06-21 00:00:00,5549122,1448130,4088514,12478,26
Selasa,2023-06-20 00:00:00,5548673,1448111,4088084,12478,27
Senin,2023-06-19 00:00:00,5548262,1448091,4087694,12477,28
Minggu,2023-06-18 00:00:00,5547944,1448069,4087398,12477,29
Sabtu,2023-06-17 00:00:00,5547761,1448061,4087224,12476,30
Jumat,2023-06-16 00:00:00,5547396,1448045,4086875,12476,31
Kamis,2023-06-15 00:00:00,5547038,1448020,4086542,12476,32
Rabu,2023-06-14 00:00:00,5546636,1447992,4086170,12474,33
Selasa,2023-06-13 00:00:00,5546151,1447954,4085723,12474,34
Senin,2023-06-12 00:00:00,5545639,1447917,4085248,12474,35
Minggu,2023-06-11 00:00:00,5545351,1447900,4084977,12474,36
Sabtu,2023-06-10 00:00:00,5545021,1447869,4084678,12474,37
Jumat,2023-06-09 00:00:00,5544602,1447831,4084297,12474,38
Kamis,2023-06-08 00:00:00,5544169,1447789,4083906,12474,39
Rabu,2023-06-07 00:00:00,5543802,1447740,4083588,12474,40
Selasa,2023-06-06 00:00:00,5543276,1447698,4083104,12474,41
Senin,2023-06-05 00:00:00,5542667,1447591,4082603,12473,42
Minggu,2023-06-04 00:00:00,5542380,1447550,4082357,12473,43
Sabtu,2023-06-03 00:00:00,5542075,1447486,4082116,12473,44
Jumat,2023-06-02 00:00:00,5541619,1447414,4081732,12473,45
Kamis,2023-06-01 00:00:00,5541368,1447366,4081529,12473,46
Rabu,2023-05-31 00:00:00,5541021,1447314,4081234,12473,47
Selasa,2023-05-30 00:00:00,5540570,1447247,4080850,12473,48
Senin,2023-05-29 00:00:00,5539938,1447129,4080336,12473,49
Minggu,2023-05-28 00:00:00,5539634,1447089,4080072,12473,50
Sabtu,2023-05-27 00:00:00,5539320,1447039,4079808,12473,51
Jumat,2023-05-26 00:00:00,5538795,1446919,4079403,12473,52
Kamis,2023-05-25 00:00:00,5538206,1446803,4078930,12473,53
Rabu,2023-05-24 00:00:00,5537721,1446695,4078553,12473,54
Selasa,2023-05-23 00:00:00,5537059,1446551,4078035,12473,55
Senin,2023-05-22 00:00:00,5536304,1446377,4077455,12472,56
Minggu,2023-05-21 00:00:00,5535995,1446274,4077249,12472,57
Sabtu,2023-05-20 00:00:00,5535574,1446174,4076928,12472,58
Jumat,2023-05-19 00:00:00,5534854,1446007,4076375,12472,59
Kamis,2023-05-18 00:00:00,5534272,1445867,4075933,12472,60
Rabu,2023-05-17 00:00:00,5533762,1445716,4075575,12471,61
Selasa,2023-05-16 00:00:00,5532911,1445498,4074942,12471,62
Senin,2023-05-15 00:00:00,5532422,1445353,4074598,12471,63
Minggu,2023-05-14 00:00:00,5538347,1447696,4078176,12475,64
Sabtu,2023-05-13 00:00:00,5537832,1447508,4077849,12475,65
Jumat,2023-05-12 00:00:00,5537196,1447325,4077397,12474,66
Kamis,2023-05-11 00:00:00,5536435,1447079,4076882,12474,67
Rabu,2023-05-10 00:00:00,5535491,1446762,4076255,12474,68
Selasa,2023-05-09 00:00:00,5534656,1446481,4075701,12474,69
Senin,2023-05-08 00:00:00,5533586,1446104,4075008,12474,70
Minggu,2023-05-07 00:00:00,5533049,1445926,4074649,12474,71
Sabtu,2023-05-06 00:00:00,5532364,1445682,4074208,12474,72
Jumat,2023-05-05 00:00:00,5531479,1445352,4073653,12474,73
Kamis,2023-05-04 00:00:00,5530556,1444985,4073100,12471,74
Rabu,2023-05-03 00:00:00,5529545,1444590,4072484,12471,75
Selasa,2023-05-02 00:00:00,5528394,1444068,4071855,12471,76
Senin,2023-05-01 00:00:00,5527729,1443779,4071479,12471,77
Minggu,2023-04-30 00:00:00,5527286,1443607,4071208,12471,78
Sabtu,2023-04-29 00:00:00,5526656,1443350,4070835,12471,79
Jumat,2023-04-28 00:00:00,5525864,1442972,4070422,12470,80
Kamis,2023-04-27 00:00:00,5525000,1442619,4069912,12469,81
Rabu,2023-04-26 00:00:00,5524083,1442240,4069374,12469,82
Selasa,2023-04-25 00:00:00,5523393,1441935,4068990,12468,83
Senin,2023-04-24 00:00:00,5522852,1441701,4068683,12468,84
Minggu,2023-04-23 00:00:00,5522619,1441605,4068546,12468,85
Sabtu,2023-04-22 00:00:00,5522487,1441540,4068479,12468,86
Jumat,2023-04-21 00:00:00,5522247,1441420,4068359,12468,87
Kamis,2023-04-20 00:00:00,5521872,1441251,4068153,12468,88
Rabu,2023-04-19 00:00:00,5521466,1441096,4067902,12468,89
Selasa,2023-04-18 00:00:00,5520905,1440900,4067537,12468,90
Senin,2023-04-17 00:00:00,5520156,1440686,4067002,12468,91
Minggu,2023-04-16 00:00:00,5519741,1440560,4066713,12468,92
Sabtu,2023-04-15 00:00:00,5519374,1440434,4066472,12468,93
Jumat,2023-04-14 00:00:00,5518889,1440260,4066163,12466,94
Kamis,2023-04-13 00:00:00,5518311,1440108,4065737,12466,95
Rabu,2023-04-12 00:00:00,5517783,1439969,4065351,12463,96
Selasa,2023-04-11 00:00:00,5517244,1439823,4064958,12463,97
Senin,2023-04-10 00:00:00,5516445,1439639,4064343,12463,98
Minggu,2023-04-09 00:00:00,5516034,1439553,4064018,12463,99
Sabtu,2023-04-08 00:00:00,5515607,1439455,4063690,12462,100
Jumat,2023-04-07 00:00:00,5515388,1439395,4063531,12462,101
Kamis,2023-04-06 00:00:00,5514994,1439299,4063233,12462,102
Rabu,2023-04-05 00:00:00,5514577,1439198,4062917,12462,103
Selasa,2023-04-04 00:00:00,5514057,1439085,4062510,12462,104
Senin,2023-04-03 00:00:00,5513318,1438934,4061922,12462,105
Minggu,2023-04-02 00:00:00,5512989,1438868,4061659,12462,106
Sabtu,2023-04-01 00:00:00,5512654,1438818,4061374,12462,107
Jumat,2023-03-31 00:00:00,5512184,1438725,4060997,12462,108
Kamis,2023-03-30 00:00:00,5511635,1438634,4060540,12461,109
Rabu,2023-03-29 00:00:00,5511100,1438525,4060114,12461,110
Selasa,2023-03-28 00:00:00,5510383,1438393,4059530,12460,111
Senin,2023-03-27 00:00:00,5509761,1438306,4058995,12460,112
Minggu,2023-03-26 00:00:00,5509340,1438243,4058637,12460,113
Sabtu,2023-03-25 00:00:00,5508815,1438174,4058181,12460,114
Jumat,2023-03-24 00:00:00,5508272,1438072,4057740,12460,115
Kamis,2023-03-23 00:00:00,5507801,1437991,4057350,12460,116
Rabu,2023-03-22 00:00:00,5507461,1437956,4057045,12460,117
Selasa,2023-03-21 00:00:00,5506893,1437860,4056575,12458,118
Senin,2023-03-20 00:00:00,5506179,1437777,4055944,12458,119
Minggu,2023-03-19 00:00:00,5505736,1437726,4055552,12458,120
Sabtu,2023-03-18 00:00:00,5505213,1437658,4055097,12458,121
Jumat,2023-03-17 00:00:00,5504672,1437588,4054626,12458,122
Kamis,2023-03-16 00:00:00,5503519,1437488,4053573,12458,123
Rabu,2023-03-15 00:00:00,5502852,1437404,4052990,12458,124
Selasa,2023-03-14 00:00:00,5502118,1437340,4052320,12458,125
Senin,2023-03-13 00:00:00,5501278,1437235,4051585,12458,126
Minggu,2023-03-12 00:00:00,5500810,1437177,4051175,12458,127
Sabtu,2023-03-11 00:00:00,5500274,1437126,4050690,12458,128
Jumat,2023-03-10 00:00:00,5499676,1437046,4050172,12458,129
Kamis,2023-03-09 00:00:00,5499098,1436973,4049668,12457,130
Rabu,2023-03-08 00:00:00,5498463,1436899,4049108,12456,131
Selasa,2023-03-07 00:00:00,5497725,1436826,4048443,12456,132
Senin,2023-03-06 00:00:00,5496891,1436747,4047688,12456,133
Minggu,2023-03-05 00:00:00,5496372,1436695,4047221,12456,134
Sabtu,2023-03-04 00:00:00,5495877,1436650,4046771,12456,135
Jumat,2023-03-03 00:00:00,5495171,1436596,4046119,12456,136
Kamis,2023-03-02 00:00:00,5494569,1436550,4045563,12456,137
Rabu,2023-03-01 00:00:00,5493888,1436478,4044954,12456,138
Selasa,2023-02-28 00:00:00,5493078,1436400,4044222,12456,139
Senin,2023-02-27 00:00:00,5492233,1436328,4043449,12456,140
Minggu,2023-02-26 00:00:00,5491813,1436285,4043072,12456,141
Sabtu,2023-02-25 00:00:00,5491293,1436253,4042584,12456,142
Jumat,2023-02-24 00:00:00,5490735,1436209,4042070,12456,143
Kamis,2023-02-23 00:00:00,5490158,1436150,4041552,12456,144
Rabu,2023-02-22 00:00:00,5489499,1436099,4040944,12456,145
Selasa,2023-02-21 00:00:00,5488815,1436047,4040313,12455,146
Senin,2023-02-20 00:00:00,5487896,1435974,4039467,12455,147
Minggu,2023-02-19 00:00:00,5487449,1435946,4039048,12455,148
Sabtu,2023-02-18 00:00:00,5487047,1435914,4038678,12455,149
Jumat,2023-02-17 00:00:00,5486415,1435874,4038086,12455,150
Kamis,2023-02-16 00:00:00,5485916,1435827,4037634,12455,151
Rabu,2023-02-15 00:00:00,5485288,1435776,4037057,12455,152
Selasa,2023-02-14 00:00:00,5484490,1435717,4036319,12454,153
Senin,2023-02-13 00:00:00,5483565,1435661,4035450,12454,154
Minggu,2023-02-12 00:00:00,5482974,1435630,4034890,12454,155
Sabtu,2023-02-11 00:00:00,5482373,1435590,4034329,12454,156
Jumat,2023-02-10 00:00:00,5481727,1435535,4033738,12454,157
Kamis,2023-02-09 00:00:00,5481026,1435478,4033095,12453,158
Rabu,2023-02-08 00:00:00,5480272,1435427,4032392,12453,159
Selasa,2023-02-07 00:00:00,5479524,1435368,4031703,12453,160
Senin,2023-02-06 00:00:00,5478465,1435295,4030717,12453,161
Minggu,2023-02-05 00:00:00,5477981,1435257,4030271,12453,162
Sabtu,2023-02-04 00:00:00,5477384,1435227,4029704,12453,163
Jumat,2023-02-03 00:00:00,5476447,1435181,4028813,12453,164
Kamis,2023-02-02 00:00:00,5474655,1435125,4027078,12452,165
Rabu,2023-02-01 00:00:00,5473915,1435074,4026389,12452,166
Selasa,2023-01-31 00:00:00,5472914,1435018,4025444,12452,167
Senin,2023-01-30 00:00:00,5471969,1434941,4024576,12452,168
Minggu,2023-01-29 00:00:00,5471384,1434906,4024026,12452,169
Sabtu,2023-01-28 00:00:00,5470582,1434863,4023267,12452,170
Jumat,2023-01-27 00:00:00,5469980,1434811,4022718,12451,171
Kamis,2023-01-26 00:00:00,5469057,1434717,4021889,12451,172
Rabu,2023-01-25 00:00:00,5467929,1434649,4020829,12451,173
Selasa,2023-01-24 00:00:00,5466948,1434566,4019932,12450,174
Senin,2023-01-23 00:00:00,5466172,1434514,4019208,12450,175
Minggu,2023-01-22 00:00:00,5465725,1434479,4018796,12450,176
Sabtu,2023-01-21 00:00:00,5465145,1434427,4018269,12449,177
Jumat,2023-01-20 00:00:00,5464338,1434341,4017548,12449,178
Kamis,2023-01-19 00:00:00,5463553,1434271,4016833,12449,179
Rabu,2023-01-18 00:00:00,5462497,1434194,4015855,12448,180
Selasa,2023-01-17 00:00:00,5460888,1433999,4014441,12448,181
Senin,2023-01-16 00:00:00,5459712,1433879,4013386,12447,182
Minggu,2023-01-15 00:00:00,5459001,1433814,4012740,12447,183
Sabtu,2023-01-14 00:00:00,5458165,1433745,4011973,12447,184
Jumat,2023-01-13 00:00:00,5457288,1433644,4011197,12447,185
Kamis,2023-01-12 00:00:00,5456265,1433554,4010264,12447,186
Rabu,2023-01-11 00:00:00,5455309,1433456,4009407,12446,187
Selasa,2023-01-10 00:00:00,5454233,1433365,4008423,12445,188
Senin,2023-01-09 00:00:00,5453073,1433238,4007393,12442,189
Minggu,2023-01-08 00:00:00,5452146,1433177,4006527,12442,190
Sabtu,2023-01-07 00:00:00,5451295,1433088,4005765,12442,191
Jumat,2023-01-06 00:00:00,5450282,1432968,4004873,12441,192
Kamis,2023-01-05 00:00:00,5448956,1432819,4003696,12441,193
Rabu,2023-01-04 00:00:00,5447898,1432695,4002762,12441,194
Selasa,2023-01-03 00:00:00,5446799,1432552,4001809,12438,195
Senin,2023-01-02 00:00:00,5445247,1432360,4000450,12437,196
Minggu,2023-01-01 00:00:00,5444256,1432301,3999518,12437,197
Sabtu,2022-12-31 00:00:00,5443395,1432197,3998762,12436,198
Jumat,2022-12-30 00:00:00,5442544,1432071,3998037,12436,199
Kamis,2022-12-29 00:00:00,5441488,1431919,3997133,12436,200
Rabu,2022-12-28 00:00:00,5439753,1431729,3995588,12436,201
Selasa,2022-12-27 00:00:00,5438239,1431528,3994276,12435,202
Senin,2022-12-26 00:00:00,5436779,1431291,3993053,12435,203
Minggu,2022-12-25 00:00:00,5435464,1431163,3991867,12434,204
Sabtu,2022-12-24 00:00:00,5434560,1431013,3991116,12431,205
Jumat,2022-12-23 00:00:00,5433151,1430781,3989940,12430,206
Kamis,2022-12-22 00:00:00,5431112,1430506,3988177,12429,207
Rabu,2022-12-21 00:00:00,5428863,1430224,3986211,12428,208
Selasa,2022-12-20 00:00:00,5427319,1429955,3984938,12426,209
Senin,2022-12-19 00:00:00,5425384,1429618,3983340,12426,210
Minggu,2022-12-18 00:00:00,5424281,1429418,3982437,12426,211
Sabtu,2022-12-17 00:00:00,5422935,1429134,3981377,12424,212
Jumat,2022-12-16 00:00:00,5421205,1428770,3980014,12421,213
Kamis,2022-12-15 00:00:00,5419233,1428398,3978414,12421,214
Rabu,2022-12-14 00:00:00,5417390,1427898,3977071,12421,215
Selasa,2022-12-13 00:00:00,5414949,1427348,3975181,12420,216
Senin,2022-12-12 00:00:00,5412579,1426763,3973400,12416,217
Minggu,2022-12-11 00:00:00,5411147,1426448,3972283,12416,218
Sabtu,2022-12-10 00:00:00,5409279,1426003,3970864,12412,219
Jumat,2022-12-09 00:00:00,5407253,1425410,3969432,12411,220
Kamis,2022-12-08 00:00:00,5404714,1424782,3967521,12411,221
Rabu,2022-12-07 00:00:00,5402342,1424008,3965924,12410,222
Selasa,2022-12-06 00:00:00,5399881,1423233,3964240,12408,223
Senin,2022-12-05 00:00:00,5396951,1422342,3962202,12407,224
Minggu,2022-12-04 00:00:00,5395015,1421785,3960823,12407,225
Sabtu,2022-12-03 00:00:00,5392960,1421167,3959388,12405,226
Jumat,2022-12-02 00:00:00,5390358,1420357,3957597,12404,227
Kamis,2022-12-01 00:00:00,5386819,1419465,3954952,12402,228
Rabu,2022-11-30 00:00:00,5383332,1418450,3952481,12401,229
Selasa,2022-11-29 00:00:00,5379444,1417345,3949701,12398,230
Senin,2022-11-28 00:00:00,5375365,1416108,3946861,12396,231
Minggu,2022-11-27 00:00:00,5372962,1415432,3945134,12396,232
Sabtu,2022-11-26 00:00:00,5370541,1414587,3943558,12396,233
Jumat,2022-11-25 00:00:00,5367799,1413613,3941794,12392,234
Kamis,2022-11-24 00:00:00,5364609,1412477,3939743,12389,235
Rabu,2022-11-23 00:00:00,5360785,1411134,3937263,12388,236
Selasa,2022-11-22 00:00:00,5357483,1409957,3935140,12386,237
Senin,2022-11-21 00:00:00,5353213,1408501,3932327,12385,238
Minggu,2022-11-20 00:00:00,5350810,1407764,3930661,12385,239
Sabtu,2022-11-19 00:00:00,5348642,1406961,3929297,12384,240
Jumat,2022-11-18 00:00:00,5345742,1405944,3927415,12383,241
Kamis,2022-11-17 00:00:00,5342658,1404876,3925400,12382,242
Rabu,2022-11-16 00:00:00,5339199,1403749,3923069,12381,243
Selasa,2022-11-15 00:00:00,5335263,1402466,3920417,12380,244
Senin,2022-11-14 00:00:00,5331161,1401165,3917618,12378,245
Minggu,2022-11-13 00:00:00,5328107,1400499,3915230,12378,246
Sabtu,2022-11-12 00:00:00,5325260,1399816,3913066,12378,247
Jumat,2022-11-11 00:00:00,5402485,1420231,3969877,12377,248
Kamis,2022-11-10 00:00:00,5399899,1419405,3968117,12377,249
Rabu,2022-11-09 00:00:00,5397083,1418559,3966149,12375,250
Selasa,2022-11-08 00:00:00,5394302,1417844,3964084,12374,251
Senin,2022-11-07 00:00:00,5391572,1416998,3962200,12374,252
Minggu,2022-11-06 00:00:00,5389284,1416442,3960469,12373,253
Sabtu,2022-11-05 00:00:00,5386796,1415943,3958480,12373,254
Jumat,2022-11-04 00:00:00,5384562,1415319,3956870,12373,255
Kamis,2022-11-03 00:00:00,5381900,1414683,3954846,12371,256
Rabu,2022-11-02 00:00:00,5379182,1414089,3952723,12370,257
Selasa,2022-11-01 00:00:00,5376213,1413457,3950388,12368,258
Senin,2022-10-31 00:00:00,5373261,1412864,3948031,12366,259
Minggu,2022-10-30 00:00:00,5371127,1412541,3946220,12366,260
Sabtu,2022-10-29 00:00:00,5369192,1412181,3944645,12366,261
Jumat,2022-10-28 00:00:00,5367040,1411807,3942869,12364,262
Kamis,2022-10-27 00:00:00,5364739,1411391,3940989,12359,263
Rabu,2022-10-26 00:00:00,5362456,1411024,3939075,12357,264
Selasa,2022-10-25 00:00:00,5360018,1410578,3937083,12357,265
Senin,2022-10-24 00:00:00,5357203,1410109,3934743,12351,266
Minggu,2022-10-23 00:00:00,5355308,1409836,3933121,12351,267
Sabtu,2022-10-22 00:00:00,5353945,1409627,3931968,12350,268
Jumat,2022-10-21 00:00:00,5352182,1409339,3930494,12349,269
Kamis,2022-10-20 00:00:00,5270506,1387851,3870306,12349,270
Rabu,2022-10-19 00:00:00,5268142,1387541,3868255,12346,271
Selasa,2022-10-18 00:00:00,5265877,1387230,3866301,12346,272
Senin,2022-10-17 00:00:00,5263686,1386883,3864458,12345,273
Minggu,2022-10-16 00:00:00,5262059,1386691,3863024,12344,274
Sabtu,2022-10-15 00:00:00,5260662,1386467,3861851,12344,275
Jumat,2022-10-14 00:00:00,5259109,1386190,3860576,12343,276
Kamis,2022-10-13 00:00:00,5257161,1385932,3858886,12343,277
Rabu,2022-10-12 00:00:00,5255068,1385640,3857085,12343,278
Selasa,2022-10-11 00:00:00,5252612,1385332,3854939,12341,279
Senin,2022-10-10 00:00:00,5170911,1363815,3794756,12340,280
Minggu,2022-10-09 00:00:00,5248766,1384758,3851668,12340,281
Sabtu,2022-10-08 00:00:00,5247596,1384580,3850676,12340,282
Jumat,2022-10-07 00:00:00,5245916,1384330,3849246,12340,283
Kamis,2022-10-06 00:00:00,5243909,1384075,3847495,12339,284
Rabu,2022-10-05 00:00:00,5241860,1383734,3845787,12339,285
Selasa,2022-10-04 00:00:00,5239700,1383434,3843927,12339,286
Senin,2022-10-03 00:00:00,5237319,1383071,3841911,12337,287
Minggu,2022-10-02 00:00:00,5235770,1382837,3840596,12337,288
Sabtu,2022-10-01 00:00:00,5234040,1382603,3839101,12336,289
Jumat,2022-09-30 00:00:00,5231544,1382244,3836966,12334,290
Kamis,2022-09-29 00:00:00,5229166,1381929,3834904,12333,291
Rabu,2022-09-28 00:00:00,5226486,1381568,3832586,12332,292
Selasa,2022-09-27 00:00:00,5223825,1381232,3830262,12331,293
Senin,2022-09-26 00:00:00,5221056,1380854,3827873,12329,294
Minggu,2022-09-25 00:00:00,5219377,1380618,3826430,12329,295
Sabtu,2022-09-24 00:00:00,5217856,1380365,3825167,12324,296
Jumat,2022-09-23 00:00:00,5215683,1380001,3823360,12322,297
Kamis,2022-09-22 00:00:00,5213392,1379605,3821466,12321,298
Rabu,2022-09-21 00:00:00,5210786,1379227,3819238,12321,299
Selasa,2022-09-20 00:00:00,5207707,1378802,3816586,12319,300
Senin,2022-09-19 00:00:00,5204524,1378332,3813874,12318,301
Minggu,2022-09-18 00:00:00,5202620,1378013,3812289,12318,302
Sabtu,2022-09-17 00:00:00,5200896,1377710,3810869,12317,303
Jumat,2022-09-16 00:00:00,5198732,1377260,3809157,12315,304
Kamis,2022-09-15 00:00:00,5196174,1376806,3807053,12315,305
Rabu,2022-09-14 00:00:00,5193425,1376319,3804793,12313,306
Selasa,2022-09-13 00:00:00,5190855,1375822,3802720,12313,307
